id;user_id;prop_firm_id;status;trades_synced;positions_synced;error_message;started_at;completed_at;created_at
d89fd664-2925-409c-9e3e-7b76cdfd8ab9;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 13:44:45.594+00;2026-01-06 13:44:45.725+00;2026-01-06 13:44:45.618291+00
41a664ef-0ed4-45a8-9536-bde956eb60ca;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;failed;0;0;"Bridge connection failed: Bridge returned 500: {""error"":""Could not find the 'login' column of 'trades' in the schema cache""}";2026-01-06 13:44:55.544+00;2026-01-06 13:44:55.985+00;2026-01-06 13:44:55.568115+00
e87c3d9f-b31d-4b04-9bff-1912b1190d7a;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 14:00:08.618+00;2026-01-06 14:00:08.714+00;2026-01-06 14:00:08.638813+00
d70bb663-6688-4409-91b3-03109562d15c;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 14:06:47.968+00;2026-01-06 14:06:48.087+00;2026-01-06 14:06:47.99273+00
67aafcc7-0f82-476e-a2d4-a219b6c2dc09;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 14:30:02.714+00;2026-01-06 14:30:03.048+00;2026-01-06 14:30:02.764154+00
00b0dba6-7625-4f28-ba32-311bf7273a61;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 15:00:05.287+00;2026-01-06 15:00:05.961+00;2026-01-06 15:00:05.331501+00
b1e686f1-65ed-43fc-bfeb-6e3506d26674;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 15:30:06.02+00;2026-01-06 15:30:06.192+00;2026-01-06 15:30:06.038834+00
5a6058c6-bf2c-4c1d-989e-13f7833c0df6;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 16:00:16.386+00;2026-01-06 16:00:16.485+00;2026-01-06 16:00:16.407389+00
1b1a4579-cea3-4b4b-a8b1-764d326a975e;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 16:30:07.736+00;2026-01-06 16:30:07.939+00;2026-01-06 16:30:07.76523+00
51481260-0104-4a21-abd9-feb6f9726fa3;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 17:00:11.906+00;2026-01-06 17:00:12.029+00;2026-01-06 17:00:11.934545+00
1b7c47be-b1b9-41de-ae02-3e39ef1ab9bf;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 17:30:03.386+00;2026-01-06 17:30:03.956+00;2026-01-06 17:30:03.459797+00
7eac21fe-c687-4415-b1b5-4de8a815cd6c;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 18:00:05.756+00;2026-01-06 18:00:06.659+00;2026-01-06 18:00:05.825865+00
